Configuration Fields,Frequency(50/60),Data Rate,Number of Phasor(integer),Number of Analog(integer),Number of Digital(zero),Data Format (integer: 0-15),Phasor-1 Name(upto 16-char),Phasor-1 Type(v/c),Phasor-1 PHNMR(scaling),Phasor-2 Name(upto 16-char),Phasor-2 Type(v/c),Phasor-2 PHNMR(scaling),
Configuration Field Inputs,50,50,2,0,0,15,V1,v,10000,I2,c,100,
Measurements Fields,Time Stamp,Phasor-1 Magnitude,Phasor-1 Angle,Phasor-2 Magnitude,Phasor-2 Angle,Frequency,ROCOF,
Measurements Field Inputs,0,0.945683173388,80.9883016885,1.02468355159,51.7722823169,50.0,0.518370269424,
 ,0.02,0.945682043283,80.9884878806,1.02468232708,51.772468509,49.9999895241,0.190745210111,
 ,0.04,0.945682146762,80.9886873594,1.0246824392,51.7726679878,49.9999806437,0.0702178575475,
 ,0.06,0.945682797114,80.9889361953,1.02468314388,51.7729168237,49.9999684426,0.0258934643375,
 ,0.08,0.945683702461,80.9892331355,1.02468412486,51.7732137639,49.9999579123,0.00957693084917,
 ,0.1,0.858898072876,84.0783035727,0.930648606777,54.8622842011,50.0050580849,-0.0189698957606,
 ,0.12,0.854418108655,84.9538833702,0.925794395792,55.7378639986,50.0034979163,0.000148577025167,
 ,0.14,0.85412067401,85.9750592858,0.925472114084,56.7590399142,50.0032397354,0.000962432751852,
 ,0.16,0.855329018357,87.1733528786,0.92678140097,57.957333507,50.0038080847,-0.0028107358787,
 ,0.18,0.935814039175,86.3913768967,1.01398997071,57.1753575251,49.9995693433,0.0361573388037,
 ,0.2,0.950079556203,87.0153010239,1.02944719895,57.7992816523,50.0036379678,-0.00663283810387,
 ,0.22,0.955953839772,87.8347837836,1.03581220778,58.618764412,50.0068767848,-0.0185645819968,
 ,0.24,0.958056161242,88.595565698,1.03809015276,59.3795463264,50.0098332285,-0.0216065723668,
 ,0.26,0.958012606649,89.2929917997,1.0380429597,60.0769724281,50.0124878837,-0.0211377142924,
 ,0.28,0.956869591685,89.9485554483,1.03680445968,60.7325360767,50.0146437635,-0.0183746987438,
 ,0.3,0.955347903833,90.5827722561,1.03515565323,61.3667528845,50.0161474603,-0.0140373607282,
 ,0.32,0.953879104683,91.2112475029,1.0335641537,61.9952281313,50.0169625108,-0.00898935331037,
 ,0.34,0.952663560537,91.8445390594,1.03224706556,62.6285196878,50.0171704592,-0.00413353089058,
 ,0.36,0.95174270182,92.4891654089,1.03124928025,63.2731460373,50.0169388379,-0.00021737426471,
 ,0.38,0.951068078576,93.1489310944,1.0305183004,63.9329117228,50.016475919,0.0022986688866,
 ,0.4,0.950555699073,93.8261291004,1.02996311779,64.6101097288,50.0159856139,0.00328430643074,
 ,0.42,0.950121799782,94.5224027041,1.02949297147,65.3063833325,50.0156315492,0.00290628924537,
 ,0.44,0.949701691191,95.2392161932,1.02903776789,66.0231968216,50.0155151142,0.00154484856924,
 ,0.46,0.94925601476,95.977989916,1.02855486059,66.7619705444,50.015668418,-0.000311722786998,
 ,0.48,0.94876918412,96.7400040593,1.02802736115,67.5239846878,50.0160601482,-0.00216944959857,
 ,0.5,0.948243940658,97.5261831653,1.02745823995,68.3101637937,50.0166105379,-0.00361037261648,
 ,0.52,0.947694709044,98.3368572528,1.02686312669,69.1208378813,50.017210994,-0.00434421436713,
 ,0.54,0.94714133041,99.1715688086,1.02626351997,69.955549437,50.0177441994,-0.00422819777125,
 ,0.56,0.946603971908,100.028966459,1.02568127167,70.8129470873,50.0181013895,-0.00325900402103,
 ,0.58,0.946099531762,100.906800629,1.02513469166,71.6907812578,50.0181947207,-0.00154454811587,
 ,0.6,0.945639570647,101.802015978,1.02463630637,72.5859966065,50.0179639349,0.000735165246721,
 ,0.62,0.945229613535,102.710920479,1.0241921023,73.4949011078,50.0173776515,0.00336913336389,
 ,0.64,0.944869540483,103.629402004,1.0238019495,74.4133826321,50.0164304266,0.00615117088217,
 ,0.66,0.94455471555,104.553160264,1.02346082476,75.3371408923,50.0151371388,0.00890585810819,
 ,0.68,0.944277493796,105.477924722,1.02316044449,76.2619053506,50.0135262948,0.0115029016509,
 ,0.7,0.944028791688,106.399636195,1.02289096633,77.1836168234,50.0116335845,0.0138606986121,
 ,0.72,0.943799487903,107.314579397,1.02264250699,78.0985600251,50.009496579,0.0159416343143,
 ,0.74,0.943581514719,108.219463232,1.02240632478,79.00344386,50.007150986,0.0177424445795,
 ,0.76,0.943368583108,109.111453424,1.02217560532,79.8954340528,50.0046284614,0.0192829121345,
 ,0.78,0.943156544697,109.988167011,1.02194585366,80.7721476392,50.0019556903,0.0205954841314,
 ,0.8,0.942943429664,110.84764016,1.02171493545,81.6316207884,49.9991543103,0.0217174018537,
 ,0.82,0.942729218589,111.688280299,1.02148282963,82.4722609272,49.996241244,0.0226859108503,
 ,0.84,0.942515417251,112.508811455,1.02125116778,83.2927920833,49.9932290979,0.0235362796502,
 ,0.86,0.942304512066,113.308219082,1.02102264402,84.0921997103,49.990126424,0.0243018111705,
 ,0.88,0.942099389793,114.085698179,1.02080038627,84.8696788072,49.9869377899,0.0250148073574,
 ,0.9,0.94190280404,114.840606777,1.02058737816,85.6245874052,49.9836637235,0.0257075025194,
 ,0.92,0.941716959202,115.572425991,1.02038600823,86.356406619,49.980300679,0.0264122331174,
 ,0.94,0.941543259668,116.280727627,1.0201977982,87.0647082552,49.9768411942,0.0271604665147,
 ,0.96,0.941382242865,116.965150373,1.0200233304,87.7491310013,49.9732743891,0.0279806794369,
 ,0.98,0.941233685164,117.625385423,1.0198623625,88.4093660512,49.9695868945,0.0288953886908,
 ,1.0,0.941096845278,118.261171799,1.0197140913,89.0451524277,49.9657642234,0.0299178473514,
